RealTimestamp,ElapsedSeconds,TopLeft(kg),TopRight(kg),BottomLeft(kg),BottomRight(kg),TotalWeight(kg),CoPX(cm),CoPY(cm)
42:14.6,0,11.3,10.28,24.92,21.99,79.37,0.04,0.01
42:14.7,0.011,11.3,10.28,24.92,21.99,79.37,0.04,0.01
42:14.7,0.02,11.19,10.24,25.02,22.18,79.51,0.09,0.07
42:14.7,0.029,11.13,10.27,25.04,22.26,79.58,0.14,0.09
42:14.7,0.04,11.13,10.27,25.04,22.26,79.58,0.14,0.09
42:14.7,0.051,11.14,10.2,25.12,22.24,79.58,0.08,0.11
42:14.7,0.06,11.05,10.2,25.03,22.33,79.48,0.17,0.14
42:14.7,0.071,11.05,10.21,25.03,22.33,79.49,0.17,0.13
42:14.7,0.081,11.07,10.27,25.02,22.24,79.48,0.15,0.1
42:14.7,0.091,11.07,10.27,25.02,22.24,79.48,0.15,0.1
42:14.7,0.102,11.08,10.18,24.99,22.2,79.33,0.12,0.11
42:14.8,0.111,11.02,10.17,25.03,22.19,79.29,0.12,0.13
42:14.8,0.121,11.02,10.17,25.03,22.19,79.29,0.12,0.13
42:14.8,0.131,11.05,10.15,25.09,22.17,79.35,0.08,0.13
42:14.8,0.147,11.02,10.18,25.12,22.18,79.38,0.09,0.14
42:14.8,0.156,11.02,10.18,25.12,22.18,79.38,0.09,0.14
42:14.8,0.163,11.06,10.05,25.18,22.18,79.36,0.02,0.17
42:14.8,0.173,11.06,10.05,25.18,22.18,79.36,0.02,0.17
42:14.8,0.186,11.01,10.1,25.11,22.19,79.29,0.08,0.16
42:14.8,0.193,11.04,10.12,25.19,22.17,79.4,0.05,0.16
42:14.8,0.203,11.04,10.12,25.19,22.17,79.4,0.05,0.16
42:14.9,0.216,11.04,10.15,25.17,22.13,79.37,0.05,0.14
42:14.9,0.222,11.02,10.07,25.3,22.18,79.45,0.01,0.19
42:14.9,0.235,11.02,10.07,25.3,22.18,79.45,0.01,0.19
42:14.9,0.244,11.06,10.04,25.28,22.15,79.42,-0.02,0.18
42:14.9,0.253,11.06,10.04,25.28,22.15,79.42,-0.02,0.18
42:14.9,0.264,11.02,10.05,25.19,22.2,79.34,0.04,0.18
42:14.9,0.274,11.02,10.03,25.21,22.16,79.3,0.01,0.18
42:14.9,0.287,11.02,10.03,25.21,22.16,79.3,0.01,0.18
42:14.9,0.295,11.01,10.03,25.2,22.21,79.33,0.04,0.19
42:14.9,0.306,10.99,10.05,25.12,22.4,79.43,0.13,0.2
42:15.0,0.316,10.99,10.05,25.12,22.4,79.43,0.13,0.2
42:15.0,0.325,10.89,10.11,25.04,22.53,79.44,0.24,0.22
42:15.0,0.335,10.89,10.11,25.04,22.53,79.44,0.24,0.22
42:15.0,0.354,10.82,10.09,24.92,22.8,79.51,0.38,0.26
42:15.0,0.364,10.63,10.21,24.53,23.1,79.35,0.68,0.26
42:15.0,0.373,10.63,10.21,24.53,23.1,79.35,0.68,0.26
42:15.0,0.378,10.45,10.36,24.21,23.58,79.49,1.04,0.29
42:15.0,0.386,10.1,10.54,23.97,24.11,79.6,1.43,0.36
42:15.0,0.397,10.1,10.54,23.97,24.11,79.6,1.43,0.36
42:15.0,0.407,9.73,10.71,23.65,24.66,79.63,1.86,0.43
42:15.1,0.421,9.22,10.81,23.28,25.21,79.4,2.33,0.55
42:15.1,0.43,9.22,10.81,23.28,25.21,79.4,2.33,0.55
42:15.1,0.439,8.98,10.97,22.98,25.73,79.54,2.7,0.59
42:15.1,0.449,8.98,10.97,22.98,25.73,79.54,2.7,0.59
42:15.1,0.458,8.83,11.18,22.52,26.28,79.69,3.12,0.59
42:15.1,0.469,8.75,11.36,22.14,26.87,80.01,3.49,0.59
42:15.1,0.478,8.75,11.36,22.14,26.87,80.01,3.49,0.59
42:15.1,0.488,8.63,11.58,21.82,27.14,80.05,3.77,0.56
42:15.1,0.498,8.54,11.72,21.68,27.35,80.17,3.94,0.55
42:15.2,0.516,8.54,11.72,21.68,27.35,80.17,3.94,0.55
42:15.2,0.519,8.43,11.83,21.62,27.41,80.17,4.04,0.55
42:15.2,0.529,8.43,11.83,21.62,27.41,80.17,4.04,0.55
42:15.2,0.539,8.37,11.79,21.74,27.32,80.1,3.98,0.58
42:15.2,0.549,8.38,11.93,21.83,27.02,80.05,3.91,0.52
42:15.2,0.559,8.38,11.93,21.83,27.02,80.05,3.91,0.52
42:15.2,0.569,8.54,11.91,21.97,26.77,80.07,3.73,0.47
42:15.2,0.579,8.76,11.89,22.24,26.38,80.15,3.46,0.41
42:15.2,0.589,8.76,11.89,22.24,26.38,80.15,3.46,0.41
42:15.2,0.604,8.99,11.86,22.49,26.11,80.34,3.22,0.36
