RealTimestamp,ElapsedSeconds,TopLeft(kg),TopRight(kg),BottomLeft(kg),BottomRight(kg),TotalWeight(kg),CoPX(cm),CoPY(cm)
25:20.4,0.007,10.36,11.15,24.72,22.38,79.42,0,-0.02
25:20.4,0.017,10.36,11.15,24.72,22.38,79.42,0,-0.02
25:20.4,0.026,10.32,11.18,24.68,22.4,79.39,0.04,-0.02
25:20.4,0.037,10.32,11.18,24.68,22.4,79.39,0.04,-0.02
25:20.4,0.046,10.33,11.16,24.72,22.34,79.37,0,-0.02
25:20.4,0.057,10.32,11.16,24.77,22.29,79.36,-0.03,-0.02
25:20.4,0.067,10.32,11.16,24.77,22.29,79.36,-0.03,-0.02
25:20.5,0.077,10.37,11.16,24.82,22.35,79.51,-0.04,-0.02
25:20.5,0.087,10.37,11.16,24.82,22.35,79.51,-0.04,-0.02
25:20.5,0.097,10.31,11.08,24.8,22.33,79.34,-0.05,0.01
25:20.5,0.108,10.28,11.11,24.78,22.38,79.37,-0.01,0.02
25:20.5,0.118,10.28,11.11,24.78,22.38,79.37,-0.01,0.02
25:20.5,0.128,10.26,11.06,24.85,22.38,79.37,-0.04,0.04
25:20.5,0.138,10.31,11.04,24.88,22.43,79.48,-0.05,0.04
25:20.5,0.149,10.31,11.04,24.88,22.43,79.48,-0.05,0.04
25:20.5,0.159,10.25,11.06,24.86,22.47,79.46,-0.01,0.05
25:20.5,0.172,10.25,11.06,24.88,22.47,79.48,-0.02,0.05
25:20.6,0.181,10.2,11.04,24.88,22.48,79.42,-0.01,0.07
25:20.6,0.189,10.19,11.02,24.86,22.51,79.4,0.01,0.08
25:20.6,0.199,10.19,11.02,24.86,22.51,79.4,0.01,0.08
25:20.6,0.209,10.12,10.97,24.85,22.51,79.27,0.01,0.11
25:20.6,0.228,10.12,10.99,24.82,22.59,79.35,0.06,0.11
25:20.6,0.238,10.12,10.99,24.82,22.59,79.35,0.06,0.11
25:20.6,0.248,10.05,10.97,24.84,22.6,79.29,0.07,0.13
25:20.6,0.257,10.09,11.05,24.79,22.65,79.41,0.11,0.11
25:20.6,0.267,10.09,11.05,24.79,22.65,79.41,0.11,0.11
25:20.6,0.276,10.09,10.99,24.76,22.67,79.34,0.11,0.12
25:20.7,0.284,10.09,10.99,24.76,22.67,79.34,0.11,0.12
25:20.7,0.291,10.07,11.04,24.78,22.75,79.47,0.15,0.12
25:20.7,0.309,10.04,11.01,24.74,22.63,79.25,0.12,0.12
25:20.7,0.311,10.04,11.01,24.74,22.63,79.25,0.12,0.12
25:20.7,0.322,10.13,11.06,24.75,22.68,79.45,0.12,0.09
25:20.7,0.336,10.08,10.98,24.8,22.76,79.45,0.12,0.14
25:20.7,0.346,10.08,10.98,24.8,22.76,79.45,0.12,0.14
25:20.7,0.354,10.1,11,24.86,22.84,79.62,0.13,0.14
25:20.7,0.363,10.1,11,24.86,22.84,79.62,0.13,0.14
25:20.7,0.376,10.04,11.02,24.78,22.85,79.52,0.18,0.15
25:20.8,0.384,10.11,11.12,24.73,22.84,79.62,0.2,0.1
25:20.8,0.393,10.11,11.12,24.73,22.84,79.62,0.2,0.1
25:20.8,0.403,10.21,11.1,24.69,22.8,79.62,0.17,0.07
25:20.8,0.413,10.16,11.09,24.66,22.77,79.5,0.18,0.08
25:20.8,0.423,10.16,11.09,24.66,22.77,79.5,0.18,0.08
25:20.8,0.433,10.15,11.22,24.57,22.66,79.43,0.22,0.03
25:20.8,0.448,10.15,11.22,24.57,22.66,79.43,0.22,0.03
25:20.8,0.456,10.09,11.08,24.55,22.72,79.27,0.21,0.08
25:20.8,0.464,10.16,11.06,24.63,22.76,79.43,0.18,0.08
25:20.8,0.475,10.16,11.06,24.63,22.76,79.43,0.18,0.08
25:20.9,0.484,10.16,11.18,24.58,22.78,79.52,0.23,0.05
25:20.9,0.495,10.11,11.11,24.6,22.86,79.5,0.25,0.09
25:20.9,0.504,10.11,11.11,24.6,22.86,79.5,0.25,0.09
25:20.9,0.514,10.21,11.16,24.6,22.81,79.6,0.22,0.05
25:20.9,0.526,10.16,11.16,24.52,22.81,79.47,0.25,0.05
25:20.9,0.536,10.16,11.12,24.52,22.81,79.43,0.24,0.06
25:20.9,0.545,10.23,11.18,24.48,22.85,79.57,0.27,0.03
25:20.9,0.556,10.23,11.18,24.48,22.85,79.57,0.27,0.03
25:20.9,0.566,10.13,11.16,24.43,22.86,79.4,0.31,0.05
25:21.0,0.577,10.15,11.14,24.44,22.88,79.43,0.3,0.06
25:21.0,0.595,10.15,11.14,24.44,22.88,79.43,0.3,0.06
25:21.0,0.597,10.07,11.11,24.43,22.85,79.28,0.31,0.08
25:21.0,0.607,10.1,11.18,24.45,22.99,79.55,0.36,0.07
25:21.0,0.617,10.1,11.18,24.45,22.99,79.55,0.36,0.07
25:21.0,0.635,10.07,11.15,24.52,22.99,79.55,0.33,0.09
25:21.0,0.645,10.07,11.15,24.52,22.99,79.55,0.33,0.09
25:21.0,0.655,10.07,11.11,24.48,23.01,79.49,0.34,0.1
25:21.0,0.666,10.04,11.08,24.54,23.01,79.49,0.32,0.12
25:21.0,0.675,10.04,11.08,24.54,23.01,79.49,0.32,0.12
25:21.1,0.683,10.11,11.18,24.5,22.99,79.61,0.34,0.07
25:21.1,0.688,10.1,11.15,24.48,23.04,79.59,0.35,0.09
25:21.1,0.699,10.1,11.15,24.48,23.04,79.59,0.35,0.09
25:21.1,0.708,10.02,11.17,24.57,22.98,79.56,0.34,0.11
25:21.1,0.723,10.02,11.17,24.57,22.98,79.56,0.34,0.11
25:21.1,0.73,10.02,11.08,24.59,22.98,79.49,0.3,0.13
25:21.1,0.739,9.96,11.09,24.59,22.98,79.44,0.32,0.14
25:21.1,0.749,9.96,11.09,24.59,22.98,79.44,0.32,0.14
25:21.1,0.761,9.96,11.02,24.68,22.93,79.42,0.26,0.16
25:21.1,0.77,9.93,11.02,24.62,22.92,79.32,0.28,0.16
25:21.2,0.781,9.93,11.02,24.62,22.92,79.32,0.28,0.16
25:21.2,0.791,9.99,11.02,24.67,22.89,79.4,0.24,0.15
25:21.2,0.801,9.91,10.98,24.67,22.92,79.3,0.27,0.18
25:21.2,0.816,9.91,10.98,24.67,22.92,79.3,0.27,0.18
25:21.2,0.822,9.95,11.03,24.61,22.91,79.33,0.28,0.15
25:21.2,0.835,9.95,11.03,24.61,22.91,79.33,0.28,0.15
25:21.2,0.843,9.91,10.95,24.68,22.93,79.29,0.26,0.19
25:21.2,0.851,9.9,10.91,24.75,22.93,79.31,0.23,0.21
25:21.2,0.862,9.9,10.91,24.75,22.93,79.31,0.23,0.21
25:21.2,0.876,9.89,10.98,24.7,22.88,79.27,0.25,0.19
25:21.3,0.884,9.88,10.96,24.74,22.96,79.36,0.26,0.21
25:21.3,0.893,9.88,10.96,24.74,22.96,79.36,0.26,0.21
25:21.3,0.903,9.91,10.95,24.79,22.87,79.34,0.2,0.2
25:21.3,0.913,9.91,10.95,24.79,22.87,79.34,0.2,0.2
25:21.3,0.923,10.01,10.97,24.68,22.93,79.42,0.23,0.16
25:21.3,0.933,10.02,11.01,24.74,22.86,79.46,0.2,0.15
25:21.3,0.952,10.02,11.01,24.74,22.86,79.46,0.2,0.15
25:21.3,0.965,10.03,11.03,24.72,22.89,79.5,0.22,0.14
25:21.3,0.966,10.04,11.02,24.79,22.89,79.57,0.19,0.15
25:21.4,0.977,10.04,11.02,24.79,22.89,79.57,0.19,0.15
25:21.4,0.987,10.06,11.01,24.76,22.91,79.56,0.2,0.15
25:21.4,0.996,10.06,11.01,24.76,22.91,79.56,0.2,0.15
25:21.4,1.004,10.06,11.02,24.77,22.82,79.5,0.17,0.14
25:21.4,1.014,10.1,11.01,24.78,22.79,79.51,0.14,0.13
25:21.4,1.024,10.1,11.01,24.78,22.79,79.51,0.14,0.13
25:21.4,1.045,10.05,11.02,24.74,22.79,79.43,0.17,0.13
25:21.4,1.045,10.06,10.97,24.7,22.74,79.3,0.15,0.13
25:21.4,1.056,10.06,10.97,24.7,22.74,79.3,0.15,0.13
25:21.4,1.066,10.08,11,24.78,22.76,79.45,0.14,0.13
25:21.4,1.076,10.08,11,24.78,22.76,79.45,0.14,0.13
25:21.5,1.085,10.01,11.01,24.78,22.76,79.39,0.16,0.15
25:21.5,1.096,10.08,10.95,24.84,22.82,79.52,0.12,0.16
25:21.5,1.106,10.08,10.95,24.84,22.82,79.52,0.12,0.16
25:21.5,1.116,10.07,10.9,24.81,22.85,79.46,0.13,0.17
25:21.5,1.131,10.05,10.91,24.84,22.84,79.47,0.12,0.17
25:21.5,1.137,10.05,10.91,24.84,22.84,79.47,0.12,0.17
25:21.5,1.147,10.06,10.92,24.86,22.73,79.4,0.08,0.16
25:21.5,1.16,10.05,10.86,24.83,22.74,79.31,0.08,0.17
25:21.5,1.168,10.05,10.86,24.83,22.74,79.31,0.08,0.17
25:21.6,1.177,10.09,10.97,24.92,22.73,79.54,0.07,0.15
25:21.6,1.187,10.09,10.97,24.92,22.73,79.54,0.07,0.15
25:21.6,1.205,10.1,10.87,24.87,22.76,79.43,0.06,0.17
25:21.6,1.207,10.06,10.87,24.89,22.74,79.39,0.06,0.18
25:21.6,1.217,10.06,10.87,24.89,22.74,79.39,0.06,0.18
25:21.6,1.227,10.1,10.89,24.91,22.76,79.49,0.06,0.17
25:21.6,1.237,10.1,10.89,24.91,22.76,79.49,0.06,0.17
25:21.6,1.247,10.06,10.88,24.92,22.76,79.45,0.06,0.18
25:21.6,1.257,10.01,10.9,24.98,22.82,79.54,0.08,0.2
25:21.6,1.268,10.01,10.9,24.98,22.82,79.54,0.08,0.2
25:21.7,1.278,10.05,10.88,24.94,22.73,79.43,0.05,0.18
25:21.7,1.288,10.05,10.87,25.01,22.82,79.58,0.05,0.2
25:21.7,1.298,10.05,10.87,25.01,22.82,79.58,0.05,0.2
25:21.7,1.308,10.03,10.86,24.98,22.7,79.4,0.03,0.19
25:21.7,1.318,10.06,10.86,24.97,22.72,79.44,0.03,0.19
25:21.7,1.339,10.06,10.86,24.97,22.72,79.44,0.03,0.19
25:21.7,1.339,10,10.8,24.99,22.74,79.36,0.03,0.22
25:21.7,1.35,10,10.8,24.99,22.74,79.36,0.03,0.22
25:21.7,1.36,10,10.78,25.01,22.7,79.32,0,0.22
25:21.7,1.369,10.03,10.77,25.08,22.79,79.5,0,0.23
25:21.8,1.38,10.03,10.77,25.08,22.79,79.5,0,0.23
25:21.8,1.39,10.01,10.8,25.08,22.77,79.49,0.01,0.23
25:21.8,1.401,9.96,10.73,25.16,22.82,79.5,-0.01,0.27
25:21.8,1.415,9.96,10.73,25.16,22.82,79.5,-0.01,0.27
25:21.8,1.421,9.9,10.78,25.13,22.74,79.37,0.01,0.26
25:21.8,1.431,9.9,10.78,25.13,22.74,79.37,0.01,0.26
25:21.8,1.441,9.88,10.81,25.17,22.81,79.49,0.04,0.27
25:21.8,1.451,9.93,10.77,25.27,22.96,79.76,0.02,0.29
25:21.8,1.461,9.93,10.77,25.27,22.96,79.76,0.02,0.29
25:21.8,1.471,9.9,10.77,25.28,22.9,79.67,0.01,0.3
25:21.9,1.482,9.86,10.72,25.29,22.97,79.66,0.03,0.33
25:21.9,1.492,9.86,10.72,25.29,22.97,79.66,0.03,0.33
25:21.9,1.505,9.83,10.71,25.33,22.95,79.64,0.02,0.34
25:21.9,1.513,9.83,10.71,25.33,22.95,79.64,0.02,0.34
25:21.9,1.523,9.81,10.71,25.35,22.92,79.61,0.01,0.34
25:21.9,1.533,9.75,10.65,25.37,22.91,79.5,0,0.37
25:21.9,1.543,9.75,10.65,25.37,22.91,79.5,0,0.37
25:21.9,1.559,9.65,10.63,25.34,22.9,79.35,0.03,0.4
25:21.9,1.566,9.64,10.61,25.27,22.93,79.28,0.05,0.4
25:21.9,1.575,9.64,10.61,25.27,22.93,79.28,0.05,0.4
25:22.0,1.592,9.61,10.58,25.41,22.91,79.34,0,0.43
25:22.0,1.594,9.52,10.63,25.42,22.97,79.37,0.06,0.45
25:22.0,1.604,9.52,10.63,25.42,22.97,79.37,0.06,0.45
25:22.0,1.616,9.55,10.59,25.43,23.03,79.43,0.06,0.46
25:22.0,1.625,9.55,10.59,25.43,23.03,79.43,0.06,0.46
25:22.0,1.636,9.54,10.56,25.49,23.1,79.52,0.05,0.48
25:22.0,1.645,9.42,10.45,25.44,23.19,79.33,0.1,0.54
25:22.0,1.659,9.42,10.45,25.44,23.19,79.33,0.1,0.54
25:22.0,1.666,9.39,10.55,25.54,23.14,79.45,0.09,0.53
25:22.0,1.676,9.38,10.59,25.52,23.16,79.48,0.12,0.52
25:22.1,1.685,9.38,10.59,25.52,23.16,79.48,0.12,0.52
25:22.1,1.695,9.42,10.57,25.54,23.2,79.56,0.11,0.52
25:22.1,1.707,9.42,10.57,25.54,23.2,79.56,0.11,0.52
25:22.1,1.721,9.39,10.54,25.54,23.3,79.6,0.14,0.55
25:22.1,1.73,9.32,10.54,25.47,23.25,79.4,0.17,0.55
25:22.1,1.739,9.32,10.54,25.47,23.25,79.4,0.17,0.55
25:22.1,1.751,9.37,10.49,25.42,23.38,79.49,0.19,0.56
25:22.1,1.761,9.27,10.52,25.46,23.3,79.37,0.2,0.57
25:22.1,1.769,9.27,10.52,25.46,23.3,79.37,0.2,0.57
25:22.1,1.776,9.33,10.57,25.43,23.35,79.5,0.22,0.55
25:22.2,1.791,9.33,10.57,25.43,23.35,79.5,0.22,0.55
25:22.2,1.799,9.33,10.56,25.33,23.34,79.38,0.24,0.54
25:22.2,1.809,9.31,10.65,25.3,23.27,79.35,0.26,0.51
25:22.2,1.819,9.31,10.65,25.3,23.27,79.35,0.26,0.51
25:22.2,1.828,9.35,10.55,25.28,23.21,79.22,0.2,0.52
25:22.2,1.838,9.34,10.6,25.33,23.33,79.42,0.25,0.53
